file,pytorch,tensorflow,agree,human_label
0014.jpg,Lemon,Onion White,False,Corn
0114.jpg,Pepper Red,Tomato,False,Tomato
0123.jpg,Pepper Red,Tomato,False,Tomato
0129.jpg,Pear,Onion White,False,Pear
0147.jpg,Apple Granny Smith,Onion White,False,Pear
0150.jpg,Lemon,Onion White,False,Corn
0170.jpg,Cactus fruit,Pear,False,Banana
0178.jpg,Lemon,Onion White,False,Corn
0192.jpg,Cactus fruit,Pear,False,Banana
0217.jpg,Pepper Red,Tomato,False,Tomato
0227.jpg,Lemon,Onion White,False,Corn
0239.jpg,Apple Granny Smith,Onion White,False,Pear
0261.jpg,Pepper Red,Tomato,False,Tomato
0271.jpg,Pepper Red,Tomato,False,Tomato
0282.jpg,Apple Braeburn,Peach,False,Apple Braeburn
0333.jpg,Pepper Red,Tomato,False,Tomato
0337.jpg,Lemon,Onion White,False,Corn
0338.jpg,Cantaloupe,Onion White,False,Corn
0342.jpg,Pepper Red,Tomato,False,Tomato
0347.jpg,Cantaloupe,Onion White,False,Corn
0386.jpg,Pepper Red,Tomato,False,Tomato
0470.jpg,Pepper Red,Tomato,False,Tomato
0481.jpg,Pepper Red,Tomato,False,Tomato
0493.jpg,Cantaloupe,Onion White,False,Corn
0496.jpg,Cucumber Ripe,Kiwi,False,Pear
0524.jpg,Cactus fruit,Pear,False,Banana
0562.jpg,Cantaloupe,Onion White,False,Corn
0565.jpg,Pear,Banana,False,Pear
0578.jpg,Cucumber Ripe,Kiwi,False,Pear
0590.jpg,Pear,Onion White,False,Pear
0630.jpg,Apple Braeburn,Kiwi,False,Apple Braeburn
0645.jpg,Apple Braeburn,Kiwi,False,Apple Braeburn
0711.jpg,Pepper Red,Tomato,False,Tomato
0808.jpg,Pear,Onion White,False,Pear
0818.jpg,Lemon,Onion White,False,Corn
0822.jpg,Onion White,Corn,False,Corn
0844.jpg,Lemon,Onion White,False,Corn
0846.jpg,Cantaloupe,Onion White,False,Corn
0848.jpg,Cactus fruit,Pear,False,Banana
0884.jpg,Corn,Onion White,False,Corn
0886.jpg,Cactus fruit,Pear,False,Banana
0907.jpg,Lemon,Onion White,False,Corn
0912.jpg,Cactus fruit,Pear,False,Banana
0915.jpg,Pear,Onion White,False,Pear
0928.jpg,Pear,Banana,False,Pear
0947.jpg,Cucumber Ripe,Kiwi,False,Pear
1060.jpg,Pepper Red,Tomato,False,Tomato
1071.jpg,Peach,Pomegranate,False,Peach
1139.jpg,Pepper Red,Tomato,False,Tomato
